Id,Vuosi,Kuukausi,Neljannes,PainoKk,PainoQ,VkonPv,RajaPiste,Hsatama,AsMaa,Alue,RajaAsDist,Kansal,Sukup,Ikaryhma,KestoPv,KestoYo,PkYot,Mk1Yot,Mk2Yot,Mk3Yot,MatKestoFlag,Kulkuvaline,KulkuvalineFlag,MatTyyp,MatTyypFlag,MatTark,OpKesto,MuutMaat,PkKunta,PkMaakunta,PkSuuralue,PkRyhma,Mk1Kunta,Mk1Maakunta,Mk1Suuralue,Mk1Ryhma,Mk2Kunta,Mk2Maakunta,Mk2Suuralue,Mk2Ryhma,Mk3Kunta,Mk3Maakunta,Mk3Suuralue,Mk3Ryhma,Majoitus,Pake,PakeA,PakePL,PakeMPS,PakePMM,SegLuonto,SegUrhei,SegHyvin,SegKult,SegKaupu,SegTapah,SegOstos,SegKierto,SegEiMit,Yli50kmSuom,Yli50Auto,Yli50Juna,Yli50Lento,Yli50Linja,Yli50Laiva,Yli50Taksi,EnsiVaraus,EnsiVarausKk,Seura,SeuraAlle7v,Seura8_15v,PalaaKesa,PalaaTalvi,EURYht,EURMaj,EURRav,EURPolt,EURLiik,EURKult,EURMuu,EURYhtPv,EURMajYo,EURRavPv,EURPoltPv,EURLiikPv,EURKultPv,EURMuuPv,EURMajYoFlag,EURRavPvFlag,EURPoltPvFlag,EURLiikPvFlag,EURKultPvFlag,EURMuuPvFlag,RahaEM,RahaKat,RahaKortti,CO2Matka,CO2Liik,CO2Viip,CO2Yht,PainoKkEURMaj,PainoKkEURRav,PainoKkEURPolt,PainoKkEURLiik,PainoKkEURKult,PainoKkEURMuu,PainoKkEURYht,PainoKkCO2,PainoKkYo,PainoKkPv,PainoQEURMaj,PainoQEURRav,PainoQEURPolt,PainoQEURLiik,PainoQEURKult,PainoQEURMuu,PainoQEURYht,PainoQCO2,PainoQYo,PainoQPv
2023031041,2023,3,,272.51203336,,6,2,,NL,126,1978.3658144,NL,2,3,8,7,7,,,,,2,,1,,1,,2,261,19,4,3,,,,,,,,,,,,,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,2,,,,,,,202210,5,3,0,0,4,4,2350.8102441,908.05481528,184.81500578,,,1082.940423,175,293.85128051,129.72211647,23.101875723,,,135.36755287,21.875,i,i,,,i,,908.05481528,0,1442.7554288,770.6499243,3.4802382278,76,850.13016252,247455.86412,50364.313022,,,295114.29668,47689.605839,640624.07966,231.67069921,1907.5842335,2180.0962669,,,,,,,,,,
2023031049,2023,3,,696.87850467,,6,4,1,LV,,361.96139518,FI,1,3,9,8,7,1,,,,1,,1,,1,,2,615,17,2,3,564,17,2,1,,,,,,,,,4,,,,,,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,202303,0,3,,1,5,5,400,,80,80,40,100,100,44.444444444,,8.8888888889,8.8888888889,4.4444444444,11.111111111,11.111111111,,,,,,,0,40,360,50.452966252,129.18118997,76.857142857,256.49129908,,55750.280374,55750.280374,27875.140187,69687.850467,69687.850467,278751.40187,178.74327296,5575.0280374,6271.9065421,,,,,,,,,,
2023031053,2023,3,,272.51203336,,6,2,,NL,119,2008.8315085,NL,1,3,15,14,14,,,,,2,,1,,1,,2,261,19,4,3,,,,,,,,,,,,,3,2,,,,,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,202201,14,2,,,5,5,2404.9593558,1200,200,40,289.95935581,135,540,160.33062372,85.714285714,13.333333333,2.6666666667,19.330623721,9,36,,,,i,,,1590,162.99187116,651.96748465,760.23325013,2.9785999519,160,923.21185008,327014.44004,54502.406673,10900.481335,79017.413644,36789.124504,147156.49802,655380.36421,251.58633849,3815.1684671,4087.6805004,,,,,,,,,,
2023031057,2023,3,,539.234151,,6,2,,AT,,2223.3315247,DE,2,3,8,7,7,,,,,2,,1,,1,,2,273,19,4,3,,,,,,,,,,,,,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,2,,,,,,,202302,1,2,,,1,5,1827.486181,908.05481528,184.81500578,,,332.94042299,401.67593698,228.43577263,129.72211647,23.101875723,,,41.617552874,50.209492123,i,i,,,i,i,908.05481528,,,846.87316845,10.658839338,97,954.53200779,489654.16738,99658.562736,,,179532.84633,216597.38286,985442.9593,514.71625682,3774.639057,4313.873208,,,,,,,,,,
2023031058,2023,3,,1602.538388,,6,2,,BE,,2187.710202,BE,1,4,5,4,4,,,,,2,,1,,1,,1,261,19,4,3,,,,,,,,,,,,,8,,,,,,0,0,0,0,0,0,0,0,1,2,,,,,,,202212,3,2,,,3,3,20,0,20,,0,0,0,4,0,4,,0,0,0,,,,,,,0,0,20,406.12874285,3.4802382278,50,459.60898108,0,32050.76776,,0,0,0,32050.76776,736.54103566,6410.1535521,8012.6919401,,,,,,,,,,
2023031059,2023,3,,235.64956993,,6,2,,CH,130,2447.1404379,CH,2,2,8,7,7,,,,,2,,1,,1,,2,273,19,4,3,,,,,,,,,,,,,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,202209,6,2,,,5,5,743.11801323,483.30300744,184.81500578,,,,75,92.889751653,69.043286778,23.101875723,,,,9.375,i,i,,,,,483.30300744,129.90750289,129.90750289,908.31805974,11.708238722,83,1003.0262985,113890.14585,43551.576629,,,,17673.717745,175115.44022,236.36271586,1649.5469895,1885.1965594,,,,,,,,,,
2023031060,2023,3,,235.64956993,,6,2,,CH,130,2447.1404379,CH,2,2,8,7,7,,,,,2,,1,,1,,2,273,19,4,3,,,,,,,,,,,,,5,,,,,,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,202210,5,2,,,4,3,3100.5759512,2069.0623615,151.39480694,69.42962963,154.64498976,504.64935646,151.39480694,387.5719939,295.58033736,18.924350867,8.6787037037,19.330623721,63.081169558,18.924350867,,,i,i,,,0,2790.5183561,310.05759512,908.31805974,15.18063301,83,1006.4986927,487573.65564,35676.121144,16361.062362,36442.025329,118920.40381,35676.121144,730649.38943,237.18098408,1649.5469895,1885.1965594,,,,,,,,,,
2023031061,2023,3,,235.64956993,,6,2,,CH,130,2447.1404379,CH,1,3,8,7,7,,,,,2,,1,,1,,2,261,19,4,3,,,,,,,,,,,,,3,2,,,,,1,1,0,0,0,0,1,0,0,2,,,,,,,202301,2,3,1,0,4,5,1350,400,333.33333333,16.666666667,166.66666667,100,333.33333333,168.75,57.142857143,41.666666667,2.0833333333,20.833333333,12.5,41.666666667,,,,,,,166.66666667,0,1183.3333333,907.45512689,3.4802382278,68,978.93536511,94259.827971,78549.856642,3927.4928321,39274.928321,23564.956993,78549.856642,318126.9194,230.68569778,1649.5469895,1885.1965594,,,,,,,,,,
2023031063,2023,3,,272.51203336,,7,2,,NL,129,2074.9420098,NL,1,2,8,7,7,,,,,2,,1,,1,,2,261,19,4,3,,,,,,,,,,,,,3,2,,,,,1,1,0,1,0,0,0,0,0,2,,,,,,,202301,2,2,,,2,5,1350,350,150,0,150,550,150,168.75,50,18.75,0,18.75,68.75,18.75,,,,,,,350,300,700,763.41349288,3.4802382278,83,849.89373111,95379.211677,40876.805004,0,40876.805004,149881.61835,40876.805004,367891.24504,231.60626881,1907.5842335,2180.0962669,,,,,,,,,,
2023031064,2023,3,,272.51203336,,7,2,,NL,129,2074.9420098,NL,2,3,8,7,6,1,,,,2,,1,,1,,2,273,19,4,3,261,19,4,3,,,,,,,,,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,2,,,,,,,202209,6,4,0,0,4,4,1827.486181,908.05481528,184.81500578,,,332.94042299,401.67593698,228.43577263,129.72211647,23.101875723,,,41.617552874,50.209492123,i,i,,,i,i,908.05481528,0,919.43136576,760.24811986,13.36690791,80.666666667,854.28169444,247455.86412,50364.313022,,,90730.271659,109461.52634,498011.97514,232.80204162,1907.5842335,2180.0962669,,,,,,,,,,
